제목,원제,개봉연도,장르,러닝타임(분),관람연령,줄거리,구독,대여,소장,감독,주요배우,내별점,내코멘트,코멘트작성일,poster_url,backdrop_url
끝이 없는 스칼렛,果てしなきスカーレット,2025,애니메이션 / 드라마,111,12세,"아버지를 살해당하고, 복수에 실패한 왕녀・스칼렛은 ""죽은 자의 나라""에서 깨어난다.
광기가 넘치는 이 세계에서, 숙적에게 복수를 달성하고,
""끝이 없는 곳""에 도달하지 않으면, <허무>가 되어 존재가 사라져 버린다.

상상을 초월한 모험.
끝이 없는 투쟁.
시공을 넘어선 운명의 만남.

끝이 없는 여로의 끝에서, 스칼렛은 살아갈 길을 찾을 수 있을까?",왓챠,"5,500원~","10,890원~",호소다 마모루,,2.0,그래서 하늘에 용은 왜 날아다니는건데,2026-05-21,https://an2-img.amz.wtchn.net/image/v2/rEuZeDHWGX1vnP1TlB7dsQ.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpVMk9UTTJPRGsyT0RJNU5qSXhJbjAueF80UnJFRnRGV1ZzY0JGNU1DZXBFSTkzNHE1R1g3ZEVTQzUwNzVUNE9lRQ==,https://an2-img.amz.wtchn.net/image/v2/kv_49Hy6Rqgu0VKfyYF9GA.webp?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5EY3dlREkyTkhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpFNU56azRPVFF5TVRVMk16STFORE1pZlEuMDA4RTVLWjlrWEZYck5tSjBOY2x4dEtxRkJIdXdENFFoampGYUtzaUctTQ==
에너미 앳 더 게이트,Enemy at the Gates,2001,전쟁 / 액션 / 드라마 / 스릴러,131,15세,제2차 세계대전 당시 소련이 미국의 동맹국으로 독일에게 강력히 저항하게 되자 독일은 소련을 장악하기 위하여 소련의 마지막 보루인 '스탈린그라드'의 침공을 강행하게 된다. 그러자 이 '스탈린그라드'는 전쟁의 최고 격전지가 되고 독일군의 파상 공세에 소련군은 점차 위기에 몰리게 된다. 이때 소련군 선전장교 다닐로프(조셉 파인즈 분)는 선전 전단을 뿌리기 위하여 전장의 한복판에 뛰어들었다가 소련 병사 바실리(쥬드 로 분)의 기막힌 사격 솜씨를 목격하게 된다.  그렇게 그의 탁월한 사격술을 발견한 다닐로프는 패배감에 젖어 사기가 저하된 소련군에게 승전할 수 있다는 희망을 주기 위하여 바실리를 영웅으로 만들어 소련군의 사기를 올려주어야겠다는 생각을 떠올리게 된다. 벼랑 끝에 몰린 러시아에게 있어 마지막 방어지인 스탈린그라드에서의 전투는 물러설 수 없는 것이어서 스탈린은 흐루시초프(밥 호스킨스)를 현지 책임자로 파견한다. 다닐로프의 계획에 의해 바실리는 하루하루 나찌 장교들을 처단하는 저격수로 변하게 되고 평범했던 그는 어느새 전설적인 소련의 영웅으로 재탄생하게 되는데.,웨이브,"1,500원~","5,500원~",장 자크 아노,주드 로 / 조셉 파인즈,3.0,내가 본 베드씬 중 역대 탑이라고 감히 말할 수 있다.,2026-05-21,https://an2-img.amz.wtchn.net/image/v2/M5IpsixX_sdu96co2e935Q.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXhMM3BrZERGcGIzbDZjRFJyYUhwc05uTmpZbVZxSW4wLkJNckVmTVJUdXAwejdpWTRjOFZLS2Z6MEphSWZWa1ZYdU82eXV0b2JDRGs=,https://an2-img.amz.wtchn.net/image/v2/BntR_Bcy-8omAznoJcw6aQ.webp?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5EY3dlREkyTkhFNE1DSmRMQ0p3SWpvaUwzWXhMMlJ6YlhocmFuVnNhM0ZuYTJVM05YVTFkbWh3SW4wLlFZNjlIai1CLVBFQWNlbHRoTWY0czhTUEQ5dkw1S19qZjZMNndtWDJTVFk=
친구,,2001,액션 / 범죄,,청불,"준석(유오성), 동수(장동건), 상택(서태화), 중호(정운택) 네 친구는 초등학교 때부터 친했던 친구들. 고등학교에 갔을 때 모범생이 된 상택과 달리 준석과 동수는 학교에서 가장 잘 싸우는 녀석들이 됐다. 아버지가 왕년에 폭력조직 보스였던 준석은 또래에서 맏형 노릇을 하고 장의사집 아들 동수는 준석의 든든한 오른팔이 된다. 어느 날 영화관에서 준석과 동수는 떼로 몰려드는 타학교 학생들과 혈전을 벌이고 퇴학당한다. 자기 때문에 벌어진 싸움이건만 평소 모범생이던 자신만 유기정학을 당하자 상택은 가출을 결심한다. 준석은 그런 상택을 만류하고 고등학교를 졸업하면서 네 친구는 각자 다른 길을 걷게 되는데...",왓챠,,,곽경택,유오성 / 장동건,4.5,이 영화를 본 엄마아빠들이 아무말도 없었던걸 보니 그 당시 유오성 정도로 겉늙은 고딩들이 많았나보다,2026-05-21,https://an2-img.amz.wtchn.net/image/v2/bAoEWBsoXnIILe6HKb3VJQ.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXhMM2RqWW1Wd1kySnVkRFJ2TVhkcWRXeDRkelJwSW4wLmt2MjZoMnJrczRaRGNjdC1KNkdBcy1jM2htNFRBSVVWUWFldEQ1WVpfeVU=,https://an2-img.amz.wtchn.net/image/v2/S4nMfOQ93f1xxc8HJAxP3Q.webp?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5EY3dlREkyTkhFNE1DSmRMQ0p3SWpvaUwzWXhMMlJsY2pocWFqaHBiV0YyYkhkek5IVjNiSGgxSW4wLlpOc2cxa0VtOHMxTUsxcm0zSmhpWjBtRFJmcnUxb2I1djAtZXVYQ1psQlU=
"파리, 13구","Les Olympiades, Paris 13e",2021,드라마 / 코미디 / 로맨스,105,청불,"화려함 속에 가려진 외로운 도시, 파리 13구. 낭만을 잃었다 생각한 그 곳에서 불현듯 사랑을 만났다.

사랑을 원하는 에밀리
사랑이 두려운 노라
사랑이 값비싼 앰버 스위트
사랑을 몰랐던 카미유

흔들리고 불안했던 그 사랑이, 우리는 전부라 생각했다.

여전히 사랑을 믿는 도시
<파리, 13구>",왓챠,"2,750원~","6,050원~",자크 오디아르,루시 장 / 노에미 멜랑 / 마키타 삼바 / 제니 베스,3.5,어디가서 좋아하는 배우 이름이라고 하기 어렵지만 노에미 멜랑이 좋아서 봤습니다,2026-05-21,https://an2-img.amz.wtchn.net/image/v2/Di-AfQ1DFH6nvc7gcgXTOA.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpFMk5EazNOREUxTlRrM01qRTJOak01TkRZaWZRLkI4RmFMYWxDOFdGOHlWVHkydjItZEJzelczUzdzWUFpMFM1dEtMem9hLWc=,https://an2-img.amz.wtchn.net/image/v2/ca8hhxf3xRYxx0hOc8Jizw.webp?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5EY3dlREkyTkhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpFMk5Ea3lNamsyT0RneU5Ea3dOemN5TXpZaWZRLnpaMGZoRGVnNDJsU1V2RHlYRGpXal9Vdm1DTjRCckFENkRyaXBpRzZfNE0=
버킷 리스트: 죽기전에 꼭 하고싶은것들,The Bucket List,2007,드라마 / 코미디,97,12세,"자동차 정비사 카터(모건 프리먼)는 대학 신입생 시절, 철학교수가 과제로 내주었던 ‘버킷 리스트’를 떠올린다. 하지만 46년이 지난 지금, 죽기 전에 꼭 하고 싶은 일들을 적어보는 ‘버킷 리스트’는 잃어버린 꿈이 남긴 쓸쓸한 추억에 불과하다.

재벌 사업가 에드워드(잭 니콜슨)는 돈 안 되는 ‘리스트’ 따위에는 관심 없다. 기껏해야 최고급 커피 맛보는 것 외에 자신이 원하는 게 무엇인지 생각할 수도 없다. 우연히 같은 병실을 쓰게 된 두 남자는 너무나 다른 서로에게서 너무나 중요한 공통점을 발견하게 된다. ‘나는 누구인가’를 정리할 필요가 있다는 것, 얼마 남지 않은 시간 동안 ‘하고 싶던 일’을 다 해야겠다는 것!

‘버킷 리스트’를 실행하기 위해 두 사람은 병원을 뛰쳐나가 여행길에 오른다. -세렝게티에서 사냥하기, 문신하기, 카레이싱과 스카이 다이빙, 눈물 날 때까지 웃어 보기, 가장 아름다운 소녀와 키스하기, 화장한 재를 깡통에 담아 경관 좋은 곳에 두기… - 목록을 지워나가기도 하고 더해 가기도 하면서 두 사람은 많은 것을 나누게 된다. 인생의 기쁨, 삶의 의미, 웃음, 통찰, 감동, 우정까지….",,"1,320원~","4,950원~",롭 라이너,잭 니콜슨 / 모건 프리먼,2.5,좋아하는 할아버지 둘이 나오지만 뻔한 영화랄까 ?,2026-05-21,https://an2-img.amz.wtchn.net/image/v2/V8NvvEllLHqAgdDPKfCowA.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXhMMlZ1TjNCbGFIcHROblZ6T1d0dmMyVm5jMmRrSW4wLnNrSHo0ZndCc0g4RDdRVGtQX2gxa2tiRDNVc1l4N0dOUi1TT0YzQ05ENmc=,https://an2-img.amz.wtchn.net/image/v2/C54SBKSlKbZ4-IRVIRLa5w.webp?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5EY3dlREkyTkhFNE1DSmRMQ0p3SWpvaUwzWXhMMjFxYjJOMFlpMHhPREF4TkNKOS5kSWt3bkIxQ3VwQVFOMmJHQ2U3LXlLaW1MUFRFY1R5dFoweGxrbndjQXlB
레이디 버드,Lady Bird,2017,코미디 / 드라마,94,15세,"안녕 내 이름은 “레이디 버드”라고 해. 다른 이름이 있지만, 내가 나에게 이름을 지어줬지. 모두가 나에게 잘 살아보라고 충고로 위장한 잔소리를 해. 하지만 지금 이 모습이 내 최고의 모습이라면?

날 좀 그냥 내버려 둬!",왓챠,"2,750원~","5,500원~",그레타 거윅,시얼샤 로넌,3.5,언젠가 엄마가 될 모든 딸들을 위한 영화,2026-05-18,https://an2-img.amz.wtchn.net/image/v2/-IRXY8WRgdaNrNH0dRhkDw.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXhMMnRxYVhGbmJHVjNlWEZoWldoNGVuQm5jWGt6SW4wLnk1ajAyWXBZRGJVNGhqLUJwNmxQZzNmTElXZHBvbHAxaWltdDBUaHdFTjQ=,https://an2-img.amz.wtchn.net/image/v2/xcSQgtvcw5tNwUWm6n6Zqw.webp?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5EY3dlREkyTkhFNE1DSmRMQ0p3SWpvaUwzWXhMM0JzWXpocmVIcDZiMnhzTW5Gdk5tcGxlbVJpSW4wLlI2cTZlajA0WnNIc2cweFJYTWRMRjNJcWhyNGR1N0szRjh5bUNYeVVfR0U=
파더 마더 시스터 브라더,Father Mother Sister Brother,2025,코미디 / 드라마,110,12세,"<파더 마더 시스터 브라더>는 3부작 형식으로 정교하게 구성된 장편영화이다. 

세 편의 이야기는 모두 성인 자녀들과, 다소 거리를 둔 부모(또는 부모들), 그리고 서로 간의 관계를 다룬다. 또한, 세 편의 이야기는 현재를 배경으로 하지만, '파더'는 미국 북동부에서, '마더'는 아일랜드 더블린에서, '시스터 브라더'는 프랑스 파리에서 각각 벌어진다.",왓챠,"5,500원~","10,890원~",짐 자무쉬,톰 웨이츠 / 아담 드라이버 / 마임 비아릭 / 샬럿 램플링 / 케이트 블란쳇,3.5,안 웃겨도 좋은 반복의 리듬감. 헛헛한 가족사에는 이만한 박자가 없다.,2026-05-11,https://an2-img.amz.wtchn.net/image/v2/Suk9i5S5f_ko701chfyXqA.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpJM056TXdPVFE0TkRRNE5URTVJbjAuZkplaG1CTHY0enV1RzEwLTREWlJySEZmQjljd1B3bUx3R2dxNWh4Nm5mNA==,https://an2-img.amz.wtchn.net/image/v2/g0A2upUsPfqay0Uu0-tZWw.webp?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5EY3dlREkyTkhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpNNE1qTXdNek15TURVeU9UWTFJbjAubngtMHlCRU5HU0tMY3UwaEFNTzFkRjFHLXRucjR3WnpDRkZvNDdNWHN6RQ==
이노센스,イノセンス,2004,애니메이션 / 스릴러 / 드라마,99,12세,"2032년, 인간과 기계의 경계가 무너진 시대. 가이노이드가 사람을 살해한 사건이 발생하자 공안 9과의 바토와 토구사는 수사에 나선다. 그러나 사건은 단순한 기체 결함이 아닌 거대한 음모로 이어지고, 두 사람은 존재의 본질을 뒤흔드는 진실과 맞닥뜨리게 되는데...",왓챠,"2,750원~","7,200원~",오시이 마모루,,3.0,"점점 깊어지고 복잡해지는 철학, 대사들도 결국 메인 테마송 하나 만으로 용서가 되어버림",2026-05-11,https://an2-img.amz.wtchn.net/image/v2/RiKYWOiJjL6CLAkxMUIPKw.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpjeU16RTRNamd5TkRFMk16Y3hPRE1pZlEuc1UteGRneWxSVE95am9oUlNoNWpUcTROSE5EQ3I2b1JNSkJfZ1B2dHdTVQ==,https://an2-img.amz.wtchn.net/image/v2/QOuUxApcYqVyt48feUEEjw.webp?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5EY3dlREkyTkhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpJME5UUTNNVFkyT1RBMU5URTRPRE1pZlEuNUFSMEVJcmpnNDRqS3pXcVQyM1laNzg0MGFDVmpNRFczMnJ6NmlpM0wzMA==
정점,Apex,2026,액션 / 스릴러,95,청불,그녀는 극한의 모험을 추구하며 산다. 그는 사냥의 스릴을 맛보기 위해 살인을 저지른다. 호주의 황야에서 마주친 두 사람은 결국 깨닫게 된다. 누가 포식자이고 누가 먹잇감인지.,,,,발타자르 코루마쿠르,샤를리즈 테론,2.5,빡빡이에 호주 억양을 쓰는 태런 애저튼이 점점 귀여워 보이는 영화,2026-05-11,https://an2-img.amz.wtchn.net/image/v2/FfLo19Y714Cq0HnpkJzG_A.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpZeU5UUTJOVFV4TkRjeE5EWTNNeUo5LmRvdFVlUFAzQmFTZU5RR3lPZUczcHAtUHBVcndQTEVHbEhuX1FXQldJcWs=,https://an2-img.amz.wtchn.net/image/v2/K6RcrMdwdFB93B3oNHb7kA.webp?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5EY3dlREkyTkhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHprME1UUXpOREk1TlRjNE1qWTFNQ0o5LjdJWW1hNEN1S1dvN2M0ak5WN1pmYzZ4R2QwUmNDWGRtdmhPSE93VXpUU1k=
미스터 & 미세스 스미스,Mr. & Mrs. Smith,2005,액션 / 코미디 / 범죄 / 스릴러,119,15세,"두 일급킬러의 잘못된 만남
5~6년 전, 콜롬비아 보고타에서 우연히 만난 존(브래드 피트)과 제인(안젤리나 졸리). 살인사건으로 검문당하던 제인은 존의 도움으로 무사히 빠져나가고 둘은 첫눈에 반해 사랑에 빠진다. 완벽한 외모와 성품을 가진 최고의 배우자를 만났다고 기뻐하는 두 사람. 그러나, 그것은 사상 최악의 잘못된 만남이었으니… 바로 두 사람은 경쟁조직에 속한 일급킬러들이었던 것이다. 하지만 두 사람은 서로의 정체를 전혀 눈치채지도 못한 채 결혼에 골인한다. 그리고 5~6년 후…

킬러부부에게도 권태기는 있다
겉보기엔 평온한 부부생활을 즐기는 존과 제인 부부. 매일 저녁 7시엔 꼭 함께 저녁식사를 하고, 정원을 가꾸고, 아침이 되면 나란히 차를 타고 출근한다. 하지만 그들이 회사에서 보내는 하루일과는 암살로 시작해 암살로 끝난다. 때로 야근에 특근도 있고 출장도 잦다. 이처럼 평범치 않은 신분의 존과 제인에게 아주 평범한(?) 위기가 닥친다. 바로 권태기에 빠지게 된 것. 처음 만났을때의 설레임은 도무지 찾아볼수가 없고 섹스도 거의 없는 이 부부는 이 심각한 상황을 벗어나기 위해 상담도 해보지만 별 소용이 없다.

천생연분, 하루 아침에 적이 되다
그러던 중 조직으로부터 임무를 부여 받은 두 사람은 암살현장에서 예기치 않은 방해꾼을 발견한다. 그리고 상대를 제거하기 위해 총구를 겨눈 순간, 상대 킬러가 바로 자신의 배우자임을 알게 된다. 이 충격적인 사실로 혼돈스러운 것도 잠시, 임무실패에 대한 책임으로 두 사람은 각각 조직으로부터 48시간 내에 상대 킬러를 죽이라는 명령을 받는다.이제 어제의 부부가 오늘 적이 되어 수단과 방법을 가리지 않고 서로를 죽이기 위해 쫓고 쫓기는 게임을 시작하는데…",,,"5,500원~",더그 라이만,브래드 피트 / 안젤리나 졸리,3.0,걍 둘 얼굴 보고만 있어도 흐믓해서 3점은 먹고 들어가는 영화라니 인생 참 편하겠다,2026-05-11,https://an2-img.amz.wtchn.net/image/v2/dV-mUaICJz8MYUWzx7kz4g.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXhMMjV1TW5oMWN6WjFhV1pxTldObVpuUnhZblo2SW4wLjF0ZGg1WmZjUDJtaG1TQkc1NlhPMHQ1eTBzaTg4dUM2VjRJQjlqM0tTVDg=,https://an2-img.amz.wtchn.net/image/v2/S34w8U34xC08XLJrDcuV3g.webp?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5EY3dlREkyTkhFNE1DSmRMQ0p3SWpvaUwzWXhMM0kwZFdsb2FUWjVlR2QxWjNFeGQyZDRkVGhxSW4wLkNYejJyb3pGNWozVnN3bGNPWXFLeENqSjVrTWlvX0tNMWR4QkY5TThDMUk=
